1	Fewer mallocs in curl
0	The Guardian Pulls Out of Facebook’s Instant Articles and Apple News
0	OpenLara – web-based classic Tomb Raider engine remake
0	Njalla – A privacy-aware domain registration service
0	Thinking critically about and researching algorithms [pdf]
1	The story of how SSH got port number 22
1	Rooby: a Ruby-like object oriented language written in Go
1	From Monads to Machine Code
1	[ -z $var ] works unreasonably well
0	Quantum cryptography is unbreakable. So is human ingenuity
1	Debian port for RISC-V 64-bit
0	The creators of This is Spinal Tap have been paid almost nothing
1	What Living with an Eye Patch in a Big City Taught Me
0	Torching the Modern-Day Library of Alexandria
1	Websites people say have changed their lives
0	Evidence of the context-freeness of Natural Language (1985) [pdf]
1	Fear of a White Lighter
0	Fullstack Academy (YC S12) is hiring devs in Chicago who love teaching
1	APFS filesystem format
0	How gut bacteria change cancer drug activity
0	Curse of knowledge
1	Kaitai Struct: declarative binary format parsing language
0	A Brief History of CNNs in Image Segmentation: From R-CNN to Mask R-CNN
0	A simple I2C master implementation on the MSP430
1	Stop Guessing Languages Based on IP Address
0	Computer scientist Viral Shah helped build Julia from Bengaluru, India
1	Ask HN: Alternatives to Vagrant for development environments?
0	Sheep are not stupid, and they are not helpless either
1	PX8 – A PICO-8 compatible fantasy console written in Rust
1	Show HN: Replacing WordPress with GitHub Issues-like Blog Comments
0	ARM Releases Machine Readable Architecture Specification
0	Vanity Metrics
0	MUJI Hut: A 9.1-sqm Minimalist Cabin
1	Apple Forces Recyclers to Shred All iPhones and Macbooks
1	EFF Says Google Chromebooks Are Still Spying on Students
1	Bonobo – A data processing toolkit for Python 3.5+
1	“Users will only be able to view patents via HTTP. HTTPS will no longer work”
1	Replacing Disqus with GitHub Comments
0	Mine3D: A Web 3D Minesweeper Game
0	Spending time alone is the best way to get real rest–even for extroverts
1	I Joined Airbnb at 52, Here’s What I Learned About Age, Wisdom, and Tech Industry
1	Show HN: Securely Handle Encryption Keys in Go
0	Did Spellbound Show Us the Power or the Myth of the American Dream?
0	Calculus Made Easy (1914) [pdf]
0	You Can’t Trust What You Read About Nutrition
0	Former miners out to put Kentucky on the tech map
0	The U.S. wind industry now employs more than 100K people
0	The glEnd of Zelda(): Automatic 3Dification of NES Games (2016)
1	Google's controversial groundwater withdrawal sparks question
0	The Deep Space of Digital Reading
1	Resources on creating programming languages
0	On Becoming a Woman Who Knows Too Much
0	UK launches program to explore removal of greenhouse gases from the atmosphere
0	Net Neutrality Alive and Well in Canada
0	The End of IKVM.NET
1	Tamper Chrome: Chrome extension to modify HTTP requests on the fly
0	What Happens When You Send a Zero-Day to a Bank?
0	Chicago's About to Get a Lot Less Orange
0	Introducing Token
0	WikiLeaks releases more top-secret CIA docs as U.S. considers charges
1	WhatsApp co-founder Jan Koum: “Most of startup ideas are absolutely stupid”
0	For First Time Since 1800s, Britain Goes a Day Without Burning Coal for Power
0	Torching the Modern-Day Library of Alexandria: The Tragedy of Google Books
0	The Outer Limits of Reason: A look at paradoxes in language
0	Robots.txt meant for search engines don’t work well for web archives
0	Multilingual word vectors in 78 languages
0	Automated snare drum made to the order of Aphex Twin (2014)
0	Google plans ad-blocking feature in Chrome browser
0	Me and SVG
0	McDonald's Real Estate: How They Really Make Their Money (2015)
0	A Mind is Born
0	System76 is moving product design and manufacturing in house
0	A new upstream project to break up Docker into independent components
1	High Performance TCP Proxy Server
0	The Benefits of Solitude
0	“Millennial savages me on Glassdoor for giving constructive feedback”
0	W. B. O’Shaughnessy and the Introduction of Cannabis to Modern Western Medicine
0	Physicists demonstrate new way to violate local causality
1	Alphabet claims Uber was hiding the self-driving tech that it allegedly copied
0	This is the Jeff Bezos playbook for preventing Amazon’s demise
1	Show HN: WrapAPI v2 – Build APIs, scrapers, bots on any website
1	The Evolution of Container Usage at Netflix
1	GitLab 9.1 Released with Service Desk, Canary Deployments, and Burndown Charts
0	PhotoScan: Taking Glare-Free Pictures of Pictures
0	How Airline Workers Learn to Deal with Passengers
0	Russian man gets longest-ever US hacking sentence, 27 years in prison
0	The Internet Isn’t Making Us Dumber – It’s Making Us More ‘Meta-Ignorant’
0	The Slovak Radio Building
0	Pillar: A Parallel Implementation Language (2007) [pdf]
0	How to Trick People into Saving Money
0	Alexander Grothendieck, a genius of mathematics (2015)
1	CodeStar – Quickly Develop, Build, and Deploy Applications on AWS
0	R 3.4.0 released
1	WebL – A Programming Language for the Web (1997) [pdf]
0	Theranos Secretly Bought Outside Lab Gear, Ran Fake Tests: Court Filings
1	Responsive WebVR, headset optional (2015)
1	Type Systems as Macros
0	Shinysdr – Software-defined radio receiver application built on GNU Radio
1	Systemd-free Devuan announces its first stable release candidate 'Jessie' 1.0.0
1	Show HN: Recursive DNS Server Fingerprint
1	Proposal to start a new implementation of Thunderbird based on web technologies
0	Palantir No Longer Works With The NSA
1	Forall.js: Idris-like static types and invariant checks for JavaScript
0	Ask HN: How to actually “talk to your customers”?
1	Raw Linux Threads via System Calls (2015)
0	What I Learned About Life by Becoming a Landlord
1	Show HN: Send POST requests via simple URLs
0	Study claims a link between diet sodas and stroke and dementia
1	Automatic compilation of partially available C source code
0	Knowing where you are: custom array indices in Julia
0	Golem – A Decentralized Supercomputer
1	An experienced Javascript developer’s account of learning React
1	Intel Shuts Down Lustre File System Business
1	Pattern Matching for Java
0	Transform ordinary download links into WebTorrent downloads
1	Show HN: Deep Learning for Program Synthesis
0	Canada is North America’s up-and-coming startup center
0	John Deere has turned itself into the poster-child for the DMCA
0	We Just Breached the 410 PPM Threshold for CO2
0	Tumor Biology retracting 107 papers after authors faked peer review process
0	Google plans to reach a Quantum Computing milestone before the year is out
0	The Loch Ness Monster of Mollusks
0	Status – A Mobile Ethereum OS
1	Why MIT Switched from Scheme to Python (2009)
0	Li-ion battery inventor says new solid state batteries will arrive in 2-3 years
1	Postmortem of Game Programming with Digital Mars’ D Programming Language (2008)
0	The French, Coming Apart
0	Amazon Strategy Teardown
1	Metaprogramming is less fun in D
0	AmigaOne X5000 – first impression
0	How to Remember More of What You Learn with Spaced Repetition (2016)
0	220,000 cores and counting: largest ever public cloud job
1	Tmux and Vim – better together
1	Facebook and the Cost of Monopoly
1	Hype Driven Development
0	Tor: Transparency, Openness, and Our 2015 Financials
0	Icelandic language at risk; robots, computers can't grasp it
0	Tomorrow's Cities: Singapore's plans for a smart nation
0	Velodyne Announces a Solid-State Lidar
1	Mozilla and Microsoft are rebuilding their browsers’ foundations
0	In 1674, a mysterious storm damaged Utrecht
0	Nerd pyrotechnics: a behind-the-scenes peek at the making of Merriam-Webster
0	Objects designed to explore the universe are now challenges for spaceflight
0	Cycling to work can cut cancer and heart disease, says study
0	A big patch of plastic garbage has been discovered in the Arctic
0	How people talk about marijuana on Reddit: a natural language analysis
1	Ubuntu on AWS Gets Serious Performance Boost with AWS-Tuned Kernel
1	My Nintendo Switch reverse engineering attempts
1	Google Home now supports multiple users
0	Planet enlists machine learning experts to parse Amazon basin data
0	Cassini will make its final close flyby of Saturn‘s moon Titan on April 21
0	What Is ‘Site Reliability Engineering’?
1	Caddy 0.10 Released
0	Plastc will cease operations and will not fulfill any pre-orders
0	Ask HN: Should I trademark prior to Y Combinator?
1	JavaScript performance, WebAssembly, and Shared Memory in Microsoft Edge
0	Microsoft: You need to fix your Skype and Microsoft account issues, this is insane
0	Bitcoin Mining is NP-hard (2014)
0	Developer publishes patch to enable Windows 7 and 8.1 updates on new hardware
0	The Intel Optane SSD DC P4800X (375GB) Review: Testing 3D XPoint Performance
